NSW Recorded Crime Statistics April 2015-March 2020,,,,,,,,,
"Incidents of crime recorded by the NSW Police Force by Local Government Area: number, rates^ and trends^^",,,,,,,,,
,,,,,,,,,
Local Government Area,Offence type,Apr 2015 - Mar 2016,Apr 2016 - Mar 2017,Apr 2017 - Mar 2018,Apr 2018 - Mar 2019,Apr 2019 - Mar 2020,"Rate per 100,000 population Apr 2019 - Mar 2020",2 year trend and annual percent change (Apr 2018-Mar 2020),5 year trend and average annual percent change (Apr 2015-Mar 2020)
Bathurst Regional,"Dealing, trafficking in cocaine",0,0,1,0,1,2.3,nc,nc
Bathurst Regional,"Dealing, trafficking in narcotics",2,1,0,0,0,nc,nc,nc
Bathurst Regional,"Dealing, trafficking in cannabis",2,1,1,5,3,6.9,nc,nc
Bathurst Regional,"Dealing, trafficking in amphetamines",19,2,13,3,2,4.6,nc,nc
Bathurst Regional,"Dealing, trafficking in ecstasy",2,1,5,4,6,13.9,nc,nc
Bathurst Regional,"Dealing, trafficking in other drugs",1,1,4,4,3,6.9,nc,nc
Bathurst Regional,Cultivating cannabis,8,5,7,11,9,20.8,nc,nc
Bathurst Regional,Manufacture drug,0,0,1,0,0,nc,nc,nc
Bathurst Regional,Importing drugs,0,1,0,0,0,nc,nc,nc
Bathurst Regional,Other drug offences,18,21,18,17,29,67.1,nc,nc
Bathurst Regional,Prohibited and regulated weapons offences,98,99,162,120,152,351.8,Stable,Up 11.6%
Bathurst Regional,Trespass,73,73,91,94,88,203.7,Stable,Stable
Bathurst Regional,Offensive conduct,28,27,44,28,27,62.5,Down 3.6%,Stable
Bathurst Regional,Offensive language,14,10,22,19,6,13.9,nc,nc
Bathurst Regional,Criminal intent,10,10,12,12,14,32.4,nc,nc
Bathurst Regional,Betting and gaming offences,1,0,0,0,0,nc,nc,nc
Bathurst Regional,Liquor offences,16,23,47,51,37,85.6,Stable,nc
Bathurst Regional,Pornography offences,3,2,4,1,4,9.3,nc,nc
Bathurst Regional,Prostitution offences,0,0,0,0,0,nc,nc,nc
Bathurst Regional,Escape custody,4,0,2,2,2,4.6,nc,nc
Bathurst Regional,Breach Apprehended Violence Order,125,164,156,129,155,358.7,Up 20.2%,Stable
Bathurst Regional,Breach bail conditions,340,369,500,341,308,712.9,Stable,Stable
Bathurst Regional,Fail to appear,38,9,7,0,8,18.5,nc,nc
Bathurst Regional,Resist or hinder officer,32,31,70,51,38,88,Stable,Stable
Bathurst Regional,Other offences against justice procedures,1,0,1,2,3,6.9,nc,nc
Bathurst Regional,Transport regulatory offences,5,8,8,10,4,9.3,nc,nc
Bathurst Regional,Other offences,80,76,97,79,61,141.2,Stable,Stable
Bayside,Murder *,0,1,1,1,0,nc,nc,nc
Bayside,Attempted murder,0,0,0,0,0,nc,nc,nc
Bayside,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Bayside,Manslaughter *,0,0,0,0,0,nc,nc,nc
Penrith,Domestic violence related assault,1036,1060,1159,1230,1377,658.2,Up 12.0%,Up 7.4%
Bayside,Non-domestic violence related assault,431,448,470,534,502,287.9,Stable,Up 3.9%
Bayside,Assault Police,30,17,24,45,30,17.2,Stable,nc
Bayside,Sexual assault,63,47,87,57,86,49.3,Stable,Stable
Bayside,"Indecent assault, act of indecency and other sexual offences",68,89,88,101,108,61.9,Stable,Up 12.3%
Bayside,Abduction and kidnapping,3,5,4,2,2,1.1,nc,nc
Bayside,Robbery without a weapon,22,36,30,34,24,13.8,Stable,Stable
Bayside,Robbery with a firearm,1,3,3,5,3,1.7,nc,nc
Bayside,Robbery with a weapon not a firearm,14,17,17,10,17,9.7,nc,nc
Bayside,Blackmail and extortion,9,0,2,4,4,2.3,nc,nc
Bayside,"Intimidation, stalking and harassment",344,424,464,484,627,359.6,Up 29.5%,Up 16.2%
Bayside,Other offences against the person,24,15,4,12,19,10.9,nc,nc
Bayside,Break and enter dwelling,400,360,328,310,298,170.9,Stable,Down 7.1%
Bayside,Break and enter non-dwelling,127,109,113,101,112,64.2,Stable,Stable
Bayside,Receiving or handling stolen goods,163,168,134,163,151,86.6,Stable,Stable
Bayside,Motor vehicle theft,254,228,220,216,240,137.6,Up 11.1%,Stable
Bayside,Steal from motor vehicle,704,533,676,621,553,317.1,Stable,Stable
Bayside,Steal from retail store,359,323,429,362,364,208.7,Stable,Stable
